iter	Passed	Remaining
0	1	127
1	2	132
2	3	126
3	5	130
4	6	126
5	7	122
6	9	121
7	10	118
8	11	121
9	13	121
10	14	119
11	15	116
12	17	114
13	18	112
14	19	111
15	21	110
16	22	109
17	23	106
18	24	105
19	25	103
20	27	101
21	27	99
22	29	98
23	30	96
24	31	94
25	32	92
26	33	91
27	34	89
28	35	87
29	36	85
30	37	84
31	38	82
32	39	80
33	41	79
34	42	78
35	43	76
36	43	74
37	45	73
38	45	71
39	46	70
40	48	69
41	49	67
42	49	66
43	51	65
44	52	64
45	55	65
46	58	65
47	60	65
48	61	63
49	62	62
50	63	61
51	64	59
52	66	58
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	38
67	80	37
68	80	36
69	81	35
70	83	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	101	10
91	102	8
92	103	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	108	0
