iter	Passed	Remaining
0	49	49864
1	50	25201
2	51	16992
3	51	12907
4	52	10466
5	53	8794
6	53	7605
7	54	6711
8	54	6011
9	55	5459
10	55	5003
11	56	4625
12	56	4301
13	57	4025
14	57	3794
15	58	3587
16	58	3400
17	59	3231
18	59	3081
19	60	2950
20	60	2831
21	61	2720
22	61	2619
23	62	2528
24	62	2442
25	63	2365
26	63	2293
27	64	2224
28	64	2162
29	65	2103
30	65	2049
31	66	2002
32	66	1960
33	67	1915
34	67	1872
35	68	1832
36	68	1793
37	69	1757
38	69	1722
39	70	1689
40	70	1656
41	71	1627
42	71	1598
43	72	1571
44	72	1546
45	73	1520
46	73	1497
47	74	1474
48	74	1451
49	75	1432
50	75	1412
51	76	1394
52	77	1376
53	77	1360
54	78	1342
55	78	1324
56	79	1308
57	79	1292
58	80	1276
59	80	1261
60	81	1249
61	81	1236
62	82	1222
63	82	1208
64	83	1195
65	83	1182
66	83	1169
67	84	1156
68	84	1145
69	85	1133
70	85	1122
71	86	1112
72	86	1101
73	87	1091
74	87	1081
75	88	1072
76	88	1063
77	89	1054
78	89	1044
79	90	1036
80	90	1027
81	91	1019
82	91	1008
83	91	999
84	92	991
85	92	984
86	93	976
87	93	969
88	93	961
89	94	954
90	94	948
91	95	942
92	95	936
93	96	929
94	96	923
95	97	917
96	97	911
97	98	905
98	98	899
99	99	893
100	99	888
101	100	882
102	100	877
103	101	871
104	101	866
105	102	860
106	102	855
107	102	850
108	103	844
109	103	840
110	104	835
111	104	831
112	105	827
113	105	823
114	106	818
115	106	813
116	107	808
117	107	804
118	108	799
119	108	795
120	108	791
121	109	786
122	109	783
123	110	779
124	110	775
125	111	772
126	111	767
127	112	764
128	112	760
129	113	757
130	113	754
131	114	750
132	114	747
133	115	743
134	115	740
135	116	737
136	116	734
137	117	730
138	117	727
139	118	725
140	118	723
141	119	719
142	119	716
143	120	713
144	120	710
145	120	707
146	121	704
147	121	701
148	122	698
149	122	696
150	123	693
151	123	690
152	124	688
153	124	686
154	125	683
155	125	680
156	126	678
157	126	675
158	127	672
159	127	670
160	127	666
161	128	664
162	128	661
163	129	659
164	129	656
165	130	654
166	130	652
167	131	650
168	131	647
169	132	645
170	132	643
171	133	641
172	133	638
173	134	636
174	134	634
175	135	632
176	135	629
177	135	627
178	136	625
179	136	623
180	137	621
181	137	619
182	138	618
183	139	616
184	139	614
185	140	612
186	140	610
187	141	609
188	141	607
189	142	606
190	142	604
191	143	602
192	143	600
193	144	598
194	144	596
195	145	595
196	145	593
197	145	591
198	146	589
199	146	587
200	147	586
201	148	584
202	148	583
203	149	581
204	149	579
205	150	578
206	150	576
207	151	575
208	151	573
209	152	571
210	152	570
211	153	569
212	153	567
213	154	566
214	154	564
215	154	562
216	155	560
217	155	558
218	156	556
219	156	554
220	156	553
221	157	551
222	158	550
223	158	549
224	158	547
225	159	545
226	159	543
227	160	542
228	160	540
229	160	538
230	161	537
231	161	535
232	162	534
233	162	533
234	163	532
235	163	530
236	164	529
237	165	530
238	166	529
239	166	527
240	167	527
241	167	525
242	168	524
243	168	522
244	169	521
245	169	520
246	170	518
247	170	517
248	171	515
249	171	514
250	171	512
251	172	511
252	172	510
253	173	508
254	173	507
255	174	506
256	174	504
257	175	503
258	175	502
259	176	502
260	177	501
261	177	500
262	178	499
263	178	498
264	179	498
265	180	497
266	180	496
267	181	494
268	181	493
269	182	492
270	182	491
271	183	490
272	183	489
273	184	488
274	184	486
275	185	485
276	185	484
277	186	483
278	186	482
279	187	481
280	187	480
281	188	479
282	188	478
283	189	477
284	190	476
285	190	475
286	191	474
287	191	473
288	192	472
289	192	471
290	193	471
291	193	470
292	194	469
293	194	468
294	195	467
295	196	466
296	196	465
297	197	464
298	197	463
299	198	462
300	198	461
301	198	459
302	199	458
303	199	457
304	200	456
305	201	456
306	201	455
307	202	454
308	202	453
309	203	452
310	203	451
311	204	450
312	204	449
313	205	448
314	206	447
315	206	446
316	206	445
317	207	444
318	208	444
319	208	442
320	208	441
321	209	440
322	209	439
323	210	438
324	211	438
325	211	437
326	212	436
327	212	435
328	212	434
329	213	433
330	213	432
331	214	431
332	214	429
333	215	429
334	215	428
335	216	427
336	216	426
337	217	425
338	217	424
339	218	423
340	218	423
341	219	422
342	219	421
343	220	419
344	220	418
345	221	417
346	221	416
347	221	415
348	222	414
349	222	413
350	223	412
351	223	411
352	224	411
353	224	410
354	225	409
355	225	408
356	226	407
357	226	406
358	227	405
359	227	405
360	228	404
361	228	403
362	229	402
363	229	401
364	230	400
365	230	399
366	231	398
367	231	397
368	231	396
369	232	395
370	232	394
371	233	393
372	233	392
373	234	391
374	234	390
375	234	389
376	235	388
377	235	388
378	236	387
379	236	386
380	237	385
381	237	384
382	237	383
383	238	382
384	239	381
385	239	381
386	240	380
387	240	379
388	241	378
389	241	377
390	241	376
391	242	375
392	242	374
393	243	374
394	243	373
395	244	372
396	244	371
397	244	370
398	245	369
399	245	368
400	246	367
401	246	367
402	247	366
403	248	365
404	248	365
405	249	364
406	249	363
407	250	363
408	250	362
409	251	361
410	251	360
411	252	360
412	252	359
413	253	358
414	253	357
415	254	357
416	254	356
417	255	355
418	255	354
419	256	353
420	256	352
421	257	352
422	257	351
423	257	350
424	258	349
425	258	348
426	259	348
427	259	347
428	260	346
429	260	345
430	261	344
431	261	344
432	262	343
433	262	342
434	263	341
435	263	341
436	264	340
437	264	339
438	265	338
439	265	337
440	265	337
441	266	336
442	266	335
443	267	334
444	267	334
445	268	333
446	268	332
